Date,RAY,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,EEM,VIX,label
9/20/17,0.057549389,-0.309554044,0.112511682,0.288850862,-0.006544915,0.41758237,-0.42855114,-0.239370295,-1.637882178,-0.340763735,-1.100395442,1
9/21/17,-0.304384728,-0.55432498,-0.003449617,0.054972251,-0.886934962,-1.643164551,-0.713103254,-0.174361522,0.80967711,-0.008894137,-1.115542824,1
9/22/17,0.051357705,-0.138892952,0.019140246,0.046194806,0.257024446,0.188663254,0.111597569,-1.376416135,0.173204622,-0.421670886,-1.126559102,1
9/25/17,-0.219016094,-0.909705454,-0.117500879,0.46403158,-0.18162695,1.025505124,0.595564609,0.434104117,-1.660036518,-1.238352279,-1.041182947,1
9/26/17,-0.019781557,0.148068359,0.04308164,-0.080641707,-0.50797952,-0.716974469,-1.181154304,0.108538067,-0.88912879,-0.203805221,-1.046691086,1
9/27/17,0.438720749,0.665480362,0.16157125,0.087595296,0.334259723,-1.037786143,-0.165226406,-0.735535218,-0.778249501,-0.269476544,-1.088002129,1
9/28/17,0.073747455,-0.088676227,0.04173011,-0.14799476,1.752395008,0.090935367,0.366124406,0.511370233,0.687621659,-0.057929686,-1.132067241,1
9/29/17,0.263921412,0.519705025,0.063958536,0.045572427,-0.64452415,-0.318971485,-0.748392675,0.137127778,0.471426778,0.825274704,-1.13757538,1
10/2/17,0.390372574,0.011263515,0.151477715,-0.293586499,0.005831866,-0.685314625,-0.238015265,-0.138231074,-1.318386399,0.007275958,-1.145837589,1
10/3/17,0.157670629,0.110859962,-0.128288336,-0.031764053,0.191450072,-0.107403122,0.166050707,-0.138395671,0.19260644,1.138926451,-1.13757538,1
10/4/17,0.040479914,0.016571185,-0.003091048,-0.112993791,-0.117616445,0.15336756,-0.176977543,0.375044464,0.258468608,-0.024808522,-1.121050963,1
10/5/17,0.427514134,0.728531654,0.08636768,0.251049629,2.156463752,-0.306465613,0.036716288,0.259470785,-0.780531096,0.532313825,-1.181640493,1
10/6/17,-0.143595665,0.048544378,0.062908107,-0.416787143,-0.426721684,0.115170497,0.797120732,-0.279016367,0.325384854,-0.372291105,-1.118296893,1
10/9/17,-0.237428706,-0.153576244,0.019140246,0.100326887,0.041752723,0.767088348,0.433769903,0.164770276,0.17612512,-0.056532662,-1.024658529,1
10/10/17,0.162074444,-0.000662943,-0.045501517,0.40903783,0.705375179,0.654312679,0.49140552,0.211502952,1.133780538,0.706153844,-1.059084399,1
10/11/17,0.093471275,0.179503162,-0.024972243,0.123383538,0.829964498,-0.378241842,0.167168967,0.239025679,0.848197101,0.321534116,-1.090756198,1
10/12/17,-0.183496352,-0.2077851,-0.003268898,-0.184808057,0.572390941,0.553598821,0.235699346,0.481966601,-0.4632455,-0.040220638,-1.08249399,1
10/13/17,0.007428334,0.250137237,-0.093809071,0.259692351,0.309955546,0.603099679,0.543132968,0.180564618,-0.153033886,0.649246911,-1.123805033,1
10/16/17,0.088954563,0.216340371,0.042679264,0.133612522,2.456191501,-0.13534947,-0.612131819,-0.414757059,-0.382799967,-0.055481061,-1.08249399,1
10/17/17,-0.025209673,0.04210842,0.042483105,0.017237499,-0.988911271,-1.283709519,-0.621113867,0.068972294,-0.482212861,-0.381829306,-1.027412599,1
10/18/17,0.051660145,-0.158125176,0.111740018,0.05945196,-0.407129652,-0.25113138,-0.129325003,-0.108385433,0.356869024,0.162918786,-1.060461433,1
10/19/17,-0.033358099,-0.358587282,-0.025678043,-0.196003434,-0.248219275,0.51811223,0.824434925,-0.257894951,1.079959264,-0.64777285,-1.063215503,1
10/20/17,0.422430504,0.156613697,0.133007851,0.065663357,-0.052730723,-0.73556694,-0.724969836,-0.474018197,-1.101474825,0.258363255,-1.074231781,1
10/23/17,-0.450462446,-0.586535027,0.041024177,0.13640296,0.513373706,0.007487948,0.176566158,-0.325874114,-0.564975295,-0.588434395,-0.922757957,1
10/24/17,0.102725938,0.075615997,0.040854534,0.17477782,0.222899166,-0.22156892,-0.450802075,-0.497247294,0.208859995,-0.008894137,-0.910364644,1
10/25/17,-0.489908663,-0.365784581,0.062234755,-0.066275322,-0.349634845,0.015182291,0.003450096,-0.252750352,0.868027609,-0.166789529,-0.9007254,1
10/26/17,0.109019047,-0.31773802,0.082802589,0.143137663,-0.132937391,-0.711465049,-0.521390446,-0.673224427,-2.647844905,-0.499438811,-0.891086157,1
10/27/17,0.659059227,2.286681482,-0.043107377,0.363908963,-1.710041754,0.154060689,0.239532689,0.331527003,-0.704667482,1.042610018,-1.097641372,1
