Date,Unnamed: 0,label_1.0_PREDICTION,label_0.0_PREDICTION,label_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Unnamed: 0.1,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,T10Y3M_feature0,T10Y3M_feature1,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1
2019-08-23,168,0.9990044236,0.0009955764,1.0,0.5,1.0,APPROVED,168,0.8544687575324262,0.9786610915320612,0.8920614006250168,1.1422546342831892,1.7192859925098336,0.7323607420559305,1.6921778491110138,1.0560837309348738,1.0863391572520242,0.8096917969623326,1.0774399355496471,0.5842604145074196,0.7412375364173336,1.1478360383754824,0.5855117315841382,1.0572890417482614,0.9250324106112314,2.006459766192957,1.6375968613901677,0.8058755699054883,1.046018158893992,0.8620397731075857
2019-08-26,169,0.9990864992,0.0009135008,1.0,0.5,1.0,APPROVED,169,0.8128516222409634,0.9310409650898442,0.8871831735903588,0.9215912010638888,1.807282863776064,0.7285184354816611,1.6090230206371767,1.1037732526484136,1.038046057966074,1.009153595254466,0.8966915725753202,0.575770264059329,0.7934936861820208,1.2458713707924365,0.6144803455871383,1.126217695611489,0.920206967101726,2.0296643097381386,1.6618134666604676,0.8048413187414155,1.2381143340055474,0.8214415034760469
2019-08-27,170,0.9994132519,0.0005867481,1.0,0.5,1.0,APPROVED,170,0.8332361968089362,0.7852458513385903,0.911190152070548,0.7616203211518812,1.9431604375317328,0.7078177742794427,1.5608674130293312,1.1146803935774416,0.88897428697145,0.9955310674055252,0.9877850853129674,0.5111776411408285,0.8132383156353777,1.4400257183682166,0.5857756994713125,1.082920651928859,0.8897502235852589,2.0625576422409755,1.6568623051222509,0.8065123548480645,1.3610091586887725,0.878837558231381
2019-08-28,171,0.9995612502,0.0004387498,1.0,0.5,1.0,APPROVED,171,0.8167632785825292,0.7881338183494077,0.90730349678152,0.7102003405407031,1.7605919254253946,0.6814861269180785,1.4630283922791656,1.0273246527615194,0.7470851716210843,1.006990615738656,0.9088819843598968,0.574881518022532,0.757624437967253,1.4028311963952405,0.6077979823550369,1.103760413277099,0.7984729145824186,2.2671724537148643,1.6841403822862635,0.7505318006162078,1.3674775901008245,0.8739075311742253
2019-08-29,172,0.9995423555,0.0004576445,1.0,0.5,1.0,APPROVED,172,0.8329107425272941,0.937191996266626,1.0462385087483526,0.7303466781759101,1.7893874474471254,0.6841930201530594,1.4342672380697792,0.9509144688971862,0.6580467040923921,1.2320892579874096,0.7798980597012567,0.8014796986566868,0.6962659618487528,1.369872957789332,0.6852715701038528,1.1897065461000655,0.7855479095791531,2.3030242580960145,1.7980156097867526,0.6942542482084406,1.3197239974429114,0.7910059823791865
2019-08-30,173,0.9997183681,0.0002816319,1.0,0.5,1.0,APPROVED,173,1.087557947626571,1.0631711020567818,1.1343546181407849,0.8158519108900527,1.703519929098481,0.6368128140160115,1.4040847102477003,0.963229595802472,0.7860014296451425,1.0776318756405052,0.7224277971904066,0.9784842996614416,0.6498620736863616,1.4038985158781907,0.7276049270571079,1.2076834318163878,0.5909690151396354,1.836403864117064,1.77805406005973,0.6613148178776117,1.3861151719191973,0.8187600068028099
2019-09-02,174,0.9992897511,0.0007102489,1.0,0.5,1.0,APPROVED,174,0.8985323462335209,1.108332377913454,0.9956543331630984,0.8889818654474626,2.270537857280405,1.3382537775233176,1.3561147311886792,0.9794900535132834,0.911775663310828,0.9057774764281424,0.6974472952830687,0.9955699333468558,0.6436489217599553,1.3649364228688716,0.8301615910838896,1.1921306316349118,0.6136141007771171,1.8496541875732304,1.7696405304188734,0.6492382521856923,1.4022283288053734,0.8365689430263279
2019-09-03,175,0.9993121624,0.0006878376,1.0,0.5,1.0,APPROVED,175,0.9250614357147168,0.8923296514118071,0.976854187567018,0.9445496608272592,2.250482618220462,1.2070266801464131,1.261771644678782,1.0276909443687308,1.0783254177300217,0.8288302080802344,0.7592037224157339,1.0404948799105644,0.7195662425070638,1.3713512141003088,0.7656704201571204,1.028886365280949,0.6314607521084888,1.858197007445497,1.740309144996615,0.6896627890233458,1.4389319933531763,0.857165127876608
2019-09-04,176,0.9996595383,0.0003404617,1.0,0.5,1.0,APPROVED,176,0.8863256031151294,1.1317470191430108,0.9390198290908848,1.1117886869433151,2.3349670998757253,1.2080764455326531,1.1548135370208388,0.9489879689997578,1.1170572705741555,0.7658630393827949,1.0548471542081193,0.9204863216184266,0.7407169776246633,1.5778262829846896,0.6516943740034422,1.050687033686578,0.6252313844464041,1.851661773460058,1.6677272601657869,0.6962184366803199,1.345789392523874,0.7461796795078224
2019-09-05,177,0.9985045195,0.0014954805,1.0,0.5,1.0,APPROVED,177,0.7294838655468459,0.9313081174844255,0.7686308634772071,0.8307566780242078,2.375260330335616,1.1916872204135869,1.1181958648533623,0.9495501497348968,0.8485381511435962,0.825449454545632,0.7471446323518056,1.1095700538889526,0.6352179559261474,1.3445015711750734,0.4385662392151233,1.081913736166891,0.7057168360958065,1.85908069588905,1.6062828188683766,0.7506605690690273,1.3157406948107062,0.7153685397311045
